# Generated from PortsMaster/PortMaster-New runtimes/runtimes.json and directory tree.
# Source commit: 0d9880ec45269e5dd6df11e5949f07005d5108d8
# canonical runtime<TAB>device architecture<TAB>ordered source file(s)<TAB>expected total bytes
godot_4.3.mono	x86_64	godot_4.3.mono.x86_64.squashfs	24498176
godot_4.4	aarch64	godot_4.4.aarch64.squashfs	25055232
godot_4.4	armhf	godot_4.4.armhf.squashfs	24018944
godot_4.4	x86_64	godot_4.4.x86_64.squashfs	26157056
godot_4.4.mono	aarch64	godot_4.4.mono.aarch64.squashfs	25137152
godot_4.4.mono	armhf	godot_4.4.mono.armhf.squashfs	24059904
godot_4.4.mono	x86_64	godot_4.4.mono.x86_64.squashfs	26247168
godot_4.4.1	aarch64	godot_4.4.1.aarch64.squashfs	25075712
godot_4.4.1	armhf	godot_4.4.1.armhf.squashfs	24014848
godot_4.4.1	x86_64	godot_4.4.1.x86_64.squashfs	26173440
godot_4.4.1.mono	aarch64	godot_4.4.1.mono.aarch64.squashfs	25153536
godot_4.4.1.mono	armhf	godot_4.4.1.mono.armhf.squashfs	24080384
godot_4.4.1.mono	x86_64	godot_4.4.1.mono.x86_64.squashfs	26247168
godot_4.5	aarch64	godot_4.5.aarch64.squashfs	26812416
godot_4.5	armhf	godot_4.5.armhf.squashfs	21905408
godot_4.5	x86_64	godot_4.5.x86_64.squashfs	24150016
godot_4.5.mono	aarch64	godot_4.5.mono.aarch64.squashfs	26882048
godot_4.6.3	aarch64	godot_4.6.3.aarch64.squashfs	24350720
godot_4.6.3	x86_64	godot_4.6.3.x86_64.squashfs	26238976
godot_4.6.3.mono	aarch64	godot_4.6.3.mono.aarch64.squashfs	24424448
godot_4.6.3.mono	x86_64	godot_4.6.3.mono.x86_64.squashfs	26324992
ags_3.6	aarch64	ags_3.6.aarch64.squashfs	3088384
ags_3.6	x86_64	ags_3.6.x86_64.squashfs	1933312
mesa_pkg_0.1	aarch64	mesa_pkg_0.1.aarch64.squashfs	57966592
mono-6.12.0.122-aarch64	aarch64	mono-6.12.0.122-aarch64.squashfs.part.001,mono-6.12.0.122-aarch64.squashfs.part.002,mono-6.12.0.122-aarch64.squashfs.part.003,mono-6.12.0.122-aarch64.squashfs.part.004,mono-6.12.0.122-aarch64.squashfs.part.005	262057984
pyxel_2.2.8_python_3.11	aarch64	pyxel_2.2.8_python_3.11_aarch64.squashfs	37130240
pyxel_2.2.8_python_3.11	x86_64	pyxel_2.2.8_python_3.11_x86_64.squashfs	47755264
pyxel_2.3.18_python_3.11	aarch64	pyxel_2.3.18_python_3.11_aarch64.squashfs	51986432
pyxel_2.3.18_python_3.11	x86_64	pyxel_2.3.18_python_3.11_x86_64.squashfs	57233408
pyxel_2.4.6_python_3.11	aarch64	pyxel_2.4.6_python_3.11_aarch64.squashfs	54341632
pyxel_2.4.6_python_3.11	x86_64	pyxel_2.4.6_python_3.11_x86_64.squashfs	57266176
pyxel_2.9.5_python_3.11	aarch64	pyxel_2.9.5_python_3.11_aarch64.squashfs	72654848
pyxel_2.9.5_python_3.11	x86_64	pyxel_2.9.5_python_3.11_x86_64.squashfs	75886592
python_3.11	aarch64	python_3.11.aarch64.squashfs	33320960
renpy_8.1.3	aarch64	renpy_8.1.3.aarch64.squashfs	15757312
renpy_8.3.4	aarch64	renpy_8.3.4.aarch64.squashfs	26169344
rlvm	aarch64	rlvm.aarch64.squashfs	8335360
solarus-1.6.5	aarch64	solarus-1.6.5.aarch64.squashfs	1904640
weston_pkg_0.2	aarch64	weston_pkg_0.2.aarch64.squashfs	55398400
weston_pkg_0.2	x86_64	weston_pkg_0.2.x86_64.squashfs	12288
zulu8.86.0.25-ca-jdk8.0.452-linux	aarch64	zulu8.86.0.25-ca-jdk8.0.452-linux.aarch64.squashfs	55029760
zulu11.48.21-ca-jdk11.0.11-linux	aarch64	zulu11.48.21-ca-jdk11.0.11-linux.aarch64.squashfs.part.001,zulu11.48.21-ca-jdk11.0.11-linux.aarch64.squashfs.part.002,zulu11.48.21-ca-jdk11.0.11-linux.aarch64.squashfs.part.003,zulu11.48.21-ca-jdk11.0.11-linux.aarch64.squashfs.part.004	198504448
zulu17.54.21-ca-jre17.0.13-linux	aarch64	zulu17.54.21-ca-jre17.0.13-linux.aarch64.squashfs	46895104
zulu17.54.21-ca-jre17.0.13-linux	x86_64	zulu17.54.21-ca-jre17.0.13-linux.x86_64.squashfs	46977024
zulu17.48.15-ca-jdk17.0.10-linux	aarch64	zulu17.48.15-ca-jdk17.0.10-linux.aarch64.squashfs.part.001,zulu17.48.15-ca-jdk17.0.10-linux.aarch64.squashfs.part.002,zulu17.48.15-ca-jdk17.0.10-linux.aarch64.squashfs.part.003,zulu17.48.15-ca-jdk17.0.10-linux.aarch64.squashfs.part.004	198959104
zulu17.48.15-ca-jdk17.0.10-linux	x86_64	zulu17.48.15-ca-jdk17.0.10-linux.x86_64.squashfs.part.001,zulu17.48.15-ca-jdk17.0.10-linux.x86_64.squashfs.part.002,zulu17.48.15-ca-jdk17.0.10-linux.x86_64.squashfs.part.003,zulu17.48.15-ca-jdk17.0.10-linux.x86_64.squashfs.part.004	199073792
zulu17.48.15-ca-jdk17.0.10-linux	armhf	zulu17.48.15-ca-jdk17.0.10-linux.armhf.squashfs.part.001,zulu17.48.15-ca-jdk17.0.10-linux.armhf.squashfs.part.002,zulu17.48.15-ca-jdk17.0.10-linux.armhf.squashfs.part.003,zulu17.48.15-ca-jdk17.0.10-linux.armhf.squashfs.part.004	183930880
zulu23.32.11-ca-jre23.0.2-linux	aarch64	zulu23.32.11-ca-jre23.0.2-linux.aarch64.squashfs	52232192
